frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,output_start_offset_ms,sync_gpu_ms,enqueue_offset_ms,queue_delay_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
50,49,197,1,2656059120,0.127291,-0.054917,0.000000,-0.054917,0.054917,0.127333,619,2,-0.730709,-0.730542,11.855000,11.851916,6.462377,0.000000,5.403874,5.335138,0.068695,0.075666,0.091417,0.459333,646,8168819,142972,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
51,50,199,1,2664167220,-5.203208,-0.054917,0.000000,-0.054917,0.054917,0.045625,611,0,-22.744542,-22.744375,22.013833,21.785647,21.727316,0.000000,0.000210,0.000000,0.000000,0.045458,0.028167,0.938793,637,8025382,151391,0,302,0,302,0,0,0,0,0,0,21592,14400,3510,3682,0
52,51,201,1,2672275320,0.151625,-0.031083,0.000083,-0.031000,0.031000,0.151708,616,2,-0.706375,-0.703958,11.328500,11.360317,7.668127,0.000000,4.490125,4.487472,0.002528,0.029958,0.133875,0.606625,636,8169033,150936,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
53,52,203,1,2680383420,-5.229292,-0.048708,0.000000,-0.048708,0.048708,0.041875,613,0,-22.770625,-22.768208,22.064250,21.811444,21.729221,0.000000,0.000416,0.000000,0.000000,0.041708,0.010375,0.923542,644,8040687,141895,0,302,0,302,0,0,0,0,0,0,23329,14400,4680,4249,0
54,53,205,1,2688491520,0.115625,-0.041250,0.000166,-0.041084,0.041084,0.117125,615,2,-0.742375,-0.742334,11.338417,11.299554,6.760591,0.000000,4.710249,4.710098,0.000110,0.062958,0.065333,0.610042,635,8138108,147020,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55,54,207,1,2696599620,-5.143000,-0.035500,0.000125,-0.035375,0.035375,0.044542,614,0,-22.684333,-22.684292,21.941958,21.766181,21.694031,0.000000,0.000248,0.000000,0.000000,0.044375,0.013583,0.907833,640,8071753,152441,0,302,0,302,0,0,0,0,0,0,21458,14400,3510,3548,0
56,55,209,1,2704707720,0.134500,-0.055750,0.000000,-0.055750,0.055750,0.134584,620,2,-0.723500,-0.723375,11.405833,11.405909,6.626587,0.000000,4.866208,4.832222,0.033778,0.034417,0.113458,0.462375,647,8184268,140340,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
57,56,211,1,2712815820,-4.783000,-0.054042,0.000167,-0.053875,0.053875,0.038125,611,0,-22.324334,-22.324209,21.600834,21.397755,21.345377,0.000000,0.000210,0.000000,0.000000,0.037916,0.016750,0.912291,637,8040822,147950,0,302,0,302,0,0,0,0,0,0,21451,14400,3510,3541,0
58,57,213,1,2720923920,0.129250,-0.052542,0.000084,-0.052458,0.052458,0.129375,616,2,-0.728750,-0.728667,11.771083,11.743293,6.560692,0.000000,5.238249,5.223347,0.014819,0.027500,0.123167,0.451375,636,8153590,147818,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
59,58,215,1,2729032020,-4.565500,-0.049041,0.000125,-0.048916,0.048916,0.036417,610,0,-22.106833,-22.106750,21.378083,21.182268,21.153684,0.000000,0.000332,0.000000,0.000000,0.036167,0.011125,1.108000,640,8040702,137523,0,302,0,302,0,0,0,0,0,0,23191,14400,4680,4111,0
