frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,output_start_offset_ms,sync_gpu_ms,enqueue_offset_ms,queue_delay_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
40,39,177,1,2574978120,0.106792,-0.057083,0.000083,-0.057000,0.057000,0.106959,615,2,-0.751208,-0.751166,11.633291,11.606818,6.856840,0.000000,4.890917,4.888430,0.002403,0.031959,0.088083,0.641584,635,8153593,159034,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,40,179,1,2583086220,-4.822375,-0.054000,0.000167,-0.053833,0.053833,0.036209,617,0,-22.363708,-22.363666,21.612500,21.456793,21.430753,0.000000,0.000209,0.000000,0.000000,0.036000,0.044584,0.893916,648,8071570,153912,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
42,41,181,1,2591194320,0.096459,-0.058791,0.000166,-0.058625,0.058625,0.096625,614,2,-0.761541,-0.761541,11.764500,11.707838,6.816916,0.000000,4.984791,4.977889,0.006819,0.031959,0.080541,0.615375,635,8138102,154869,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,42,183,1,2599302420,-5.164792,-0.077084,0.000209,-0.076875,0.076875,0.036250,614,0,-22.706125,-22.706125,21.944584,21.769146,21.773170,0.000000,0.004917,0.000000,0.000000,0.036083,0.010125,0.781708,638,8074486,164408,0,302,0,302,0,0,0,0,0,0,21666,14400,3510,3756,0
44,43,185,1,2607410520,0.036750,-0.069125,0.000167,-0.068958,0.068958,0.040875,613,2,-0.821250,-0.815041,11.481791,11.386225,6.556675,0.000000,4.952667,4.936305,0.016321,0.040667,0.010208,0.350958,640,8104333,141434,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
45,44,187,1,2615518620,-4.912250,-0.054167,0.000000,-0.054167,0.054167,0.042583,618,0,-22.453584,-22.447375,21.632334,21.539249,21.527763,0.000000,0.000208,0.000000,0.000000,0.042375,0.017375,1.009624,644,8102595,162338,0,302,0,302,0,0,0,0,0,0,21629,14400,3510,3719,0
46,45,189,1,2623626720,0.125833,-0.054292,0.000083,-0.054209,0.054209,0.125916,616,2,-0.732167,-0.732042,11.645250,11.619709,7.096036,0.000000,5.012457,5.002805,0.009486,0.030708,0.116292,0.954083,636,8153591,154038,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
47,46,191,1,2631734820,-4.761500,-0.057833,0.000125,-0.057708,0.057708,0.038209,615,0,-22.302833,-22.302708,21.570666,21.383975,21.393392,0.000000,0.000250,0.000000,0.000000,0.038042,0.017042,1.077376,646,8056137,147722,0,302,0,302,0,0,0,0,0,0,23431,14400,4680,4351,0
48,47,193,1,2639842920,0.103292,-0.065000,0.000167,-0.064833,0.064833,0.103458,614,2,-0.754708,-0.754625,11.818542,11.788285,6.685367,0.000000,5.216501,5.210265,0.006194,0.034292,0.087708,0.610750,635,8154505,152322,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49,48,195,1,2647951020,-4.816292,-0.038125,0.000083,-0.038042,0.038042,0.043333,611,0,-22.357625,-22.357542,21.602917,21.417255,21.364580,0.000000,0.000166,0.000000,0.000000,0.043125,0.022166,1.166959,636,8039884,158079,0,302,0,302,0,0,0,0,0,0,21615,14400,3510,3705,0
50,49,197,1,2656059120,0.113166,-0.040500,0.000208,-0.040292,0.040292,0.121041,617,2,-0.744834,-0.744709,11.753875,11.756691,6.964396,0.000000,5.055541,5.055013,0.000320,0.066833,0.100167,0.620708,644,8168825,142966,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
