frame,total_ms,cpu_wall_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks
11496,16.719000,16.721195,0.000000,6.590833,6.590416,0.000417,0.055125,0.019375,0.581125,632,8080291,130033,0,5408
11497,16.597041,16.569906,0.000000,6.609958,6.606000,0.003958,0.045334,0.018000,0.291209,642,8086380,130377,0,7210
11498,16.751709,16.742417,0.000000,6.501958,6.501707,0.000251,0.053625,0.021916,0.579750,632,8064806,133574,0,5408
11499,16.687833,16.709275,0.000000,6.676790,6.676415,0.000375,0.051417,0.047208,0.292208,633,8095693,130571,0,5408
11500,16.410958,16.354959,0.000000,6.714958,6.700750,0.014208,0.050834,0.035291,0.583792,643,8070003,131246,0,7388
11501,16.557750,16.616322,0.000000,5.789751,5.779972,0.009487,0.042292,0.097167,0.291875,646,8217926,145141,0,5653
11502,16.498125,16.610405,0.000000,5.963667,5.959291,0.004376,0.046417,0.245500,0.582125,628,7985132,139794,0,5865
11503,17.185542,16.933460,0.000000,6.355583,6.355084,0.000499,0.059292,0.014583,0.288917,636,8009224,136890,0,7210
11504,16.713125,16.750158,0.000000,6.515417,6.512041,0.003376,0.056125,0.029500,0.581667,634,8095807,130875,0,5408
11505,16.679792,16.667576,0.000000,6.193208,6.192374,0.000834,0.054916,0.067375,0.583083,631,8064645,137056,0,5408
11506,16.701250,16.663885,0.000000,6.349709,6.349167,0.000375,0.055708,0.018250,0.292125,642,8086560,134324,0,7210
11507,16.758916,16.740704,0.000000,6.370750,6.370499,0.000251,0.053709,0.013333,0.584417,633,8067746,135969,0,5408
11508,16.646417,16.609671,0.000000,6.468624,6.468249,0.000375,0.050833,0.018709,0.291500,630,8077170,133032,0,5408
11509,16.540417,16.494541,0.000000,6.679417,6.673334,0.006083,0.051958,0.018458,0.579709,641,8071244,129953,0,7210
11510,16.865708,16.899985,0.000000,6.639876,6.639542,0.000334,0.050292,0.030125,0.292500,632,8079970,134311,0,5408
11511,16.628167,16.604544,0.000000,6.516417,6.508208,0.008209,0.050166,0.026000,0.634084,633,8080270,133109,0,5408
11512,16.599000,16.586344,0.000000,6.575082,6.561625,0.013457,0.044625,0.043833,0.600833,639,8070995,132774,0,7210
11513,16.804916,16.777093,0.000000,6.175709,6.175458,0.000126,0.054875,0.038417,0.290750,634,8080205,136041,0,5408
11514,16.709292,16.706625,0.000000,6.430333,6.422499,0.007834,0.048708,0.037834,0.581126,631,8080247,134191,0,5408
11515,16.564667,16.582995,0.000000,6.499667,6.492667,0.007000,0.059250,0.058541,0.303750,639,8070988,130770,0,7210
11516,16.781708,16.726423,0.000000,6.455416,6.454874,0.000542,0.053583,0.013334,0.592375,634,8080223,132888,0,5408
11517,16.594042,16.590861,0.000000,6.487541,6.483832,0.003709,0.056375,0.026666,0.291875,628,8077455,132774,0,5408
11518,16.676458,16.628217,0.000000,6.645958,6.626583,0.019292,0.053208,0.011709,1.225333,639,8058334,133131,0,7210
11519,16.819750,16.825999,0.000000,6.498958,6.495624,0.003334,0.047083,0.046500,0.558500,631,8095694,135163,0,5408
11520,16.693750,16.640710,0.000000,6.476750,6.473708,0.003042,0.049542,0.021500,1.144584,632,8064827,131945,0,5408
11521,16.540000,16.540449,0.000000,6.636668,6.626043,0.010625,0.047458,0.040250,0.587709,641,8086439,129336,0,7210
11522,16.887958,16.887039,0.000000,6.460582,6.447457,0.013125,0.046750,0.019250,0.331333,629,8080177,132968,0,5408
11523,16.525125,16.502378,0.000000,6.563333,6.558666,0.004667,0.044584,0.019875,1.254751,638,8142004,131587,0,5408
11524,16.288417,16.363323,0.000000,5.636916,5.613764,0.022861,0.056000,0.104958,0.610250,645,8073346,150132,0,7692
11525,17.191792,17.084805,0.000000,6.165750,6.158000,0.007750,0.059833,0.013083,0.930542,627,8013505,138400,0,5408
11526,16.679541,16.668086,0.000000,6.664209,6.659458,0.004751,0.053334,0.042791,0.423666,633,8080210,127351,0,5408
11527,16.529500,16.458630,0.000000,6.773584,6.773334,0.000250,0.045209,0.012291,0.923791,639,8070998,126903,0,7210
11528,16.783375,16.862431,0.000000,6.294000,6.290083,0.003917,0.051792,0.064917,1.292417,633,8095664,136567,0,5408
11529,16.693375,16.628288,0.000000,6.404458,6.398749,0.005709,0.055542,0.040708,0.299125,632,8064806,130696,0,5408
11530,16.634334,16.581879,0.000000,6.594916,6.593625,0.001291,0.068625,0.020083,1.181709,639,8055539,129761,0,7210
11531,16.364250,16.369461,0.000000,6.545583,6.545249,0.000334,0.056083,0.016625,0.304042,637,8109407,132649,0,5730
11532,17.060625,17.055252,0.000000,6.144291,6.138583,0.005708,0.059083,0.019958,0.972124,629,8049325,140259,0,5408
11533,16.398625,16.395080,0.000000,6.229292,6.227251,0.002041,0.049458,0.037833,0.336375,642,8101236,134521,0,7339
11534,16.633000,16.581367,0.000000,6.405542,6.394833,0.010709,0.046125,0.011000,0.962292,630,8064757,136554,0,5408
11535,16.937208,16.947531,0.000000,6.345083,6.344666,0.000417,0.049250,0.041500,0.909625,642,8102403,139792,0,7126
11536,16.868292,16.895128,0.000000,6.299291,6.298500,0.000791,0.131166,0.053167,0.636750,632,8079759,135141,0,5492
11537,16.553000,16.447834,0.000000,5.885958,5.875082,0.010876,0.061666,0.019292,0.618833,627,8049388,133361,0,5408
11538,16.659625,16.693095,0.000000,6.124374,6.123915,0.000459,0.066541,0.019917,0.308750,642,8101864,134170,0,7210
11539,16.699666,16.660046,0.000000,6.280332,6.279833,0.000499,0.056000,0.043167,1.282416,630,8049357,134250,0,5408
11540,16.429834,16.432373,0.000000,6.346041,6.342749,0.003292,0.058333,0.022917,0.299791,634,8126609,135055,0,5408
11541,16.477791,16.543276,0.000000,5.734333,5.733721,0.000320,0.055292,0.122750,0.949250,638,8024712,141818,0,7210
11542,17.037542,16.937509,0.000000,5.740082,5.735097,0.004777,0.052167,0.034041,0.299583,635,8078846,147870,0,5653
11543,16.747208,16.646881,0.000000,6.532210,6.525792,0.006418,0.052959,0.019958,0.941542,631,8064823,130482,0,5408
