frame,total_ms,cpu_wall_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms
12122,16.723291,16.765843,0.000000,5.022042,5.021584,0.000291,0.043125,0.025125,0.457750
12123,16.813500,16.800166,0.000000,5.220501,5.199959,0.020250,0.049917,0.011625,1.078958
12124,16.622417,16.600803,0.000000,4.879751,4.879291,0.000168,0.047375,0.012667,0.447708
12125,16.568333,16.547430,0.000000,5.067624,5.067167,0.000249,0.037417,0.032667,1.255209
12126,16.851209,16.848290,0.000000,5.134957,5.126541,0.008250,0.068958,0.023083,0.609167
12127,16.840125,16.829888,0.000000,5.550792,5.452652,0.097806,0.050083,0.025250,1.226999
12128,16.071000,16.061049,0.000000,4.975625,4.975293,0.000124,0.039916,0.030417,0.607292
12129,16.783125,16.762835,0.000000,4.782500,4.781917,0.000291,0.052916,0.013375,0.903542
12130,16.910708,16.863991,0.000000,4.950666,4.950207,0.000126,0.049292,0.028458,1.051501
12131,16.736917,16.731907,0.000000,5.057250,5.056626,0.000333,0.061916,0.014542,0.290750
12132,16.792875,16.823558,0.000000,4.494625,4.481250,0.013042,0.079250,0.021125,0.931708
12133,16.977083,16.950295,0.000000,4.644541,4.643527,0.000181,0.056875,0.018042,0.291625
12134,16.281500,16.244454,0.000000,4.742374,4.728500,0.013582,0.057583,0.013709,0.977542
12135,16.349500,16.362926,0.000000,5.447957,5.371708,0.076041,0.059042,0.013833,0.670625
12136,16.833917,16.809796,0.000000,5.277084,5.225541,0.051251,0.055250,0.012458,0.825667
12137,16.776666,16.772288,0.000000,5.978875,5.799195,0.179430,0.047709,0.050166,0.938126
12138,16.651542,16.608557,0.000000,5.605459,5.499653,0.105556,0.054833,0.032959,0.305458
12139,16.586875,16.572455,0.000000,6.129124,5.950861,0.178222,0.052667,0.019000,0.981500
12140,16.793917,16.778366,0.000000,6.163334,5.966987,0.196263,0.049166,0.014625,0.289250
12141,16.682208,16.704356,0.000000,5.846458,5.691903,0.154264,0.044083,0.046334,0.953708
12142,16.728917,16.731286,0.000000,6.126084,5.947361,0.178639,0.048333,0.053375,0.379208
12143,16.499208,16.443670,0.000000,6.121582,5.923111,0.198388,0.042958,0.012542,0.912958
12144,16.723125,16.696989,0.000000,6.125416,6.125041,0.000375,0.053708,0.012834,0.909791
12145,16.770792,16.791052,0.000000,6.268583,6.055736,0.212764,0.048791,0.043334,0.643625
12146,16.285583,16.331875,0.000000,6.040167,5.842778,0.196972,0.049500,0.109625,0.914208
12147,17.120500,17.012008,0.000000,5.910290,5.735361,0.174472,0.056542,0.013166,0.635084
12148,16.724000,16.707829,0.000000,5.988291,5.804069,0.183889,0.054333,0.015125,1.338708
12149,16.254917,16.270138,0.000000,6.005125,5.817195,0.187514,0.041625,0.061375,0.636833
12150,17.133583,17.134015,0.000000,5.844500,5.690694,0.153431,0.050833,0.044792,0.935416
12151,16.520792,16.525164,0.000000,6.128416,5.938819,0.189514,0.052583,0.051792,0.652708
12152,16.702166,16.633799,0.000000,6.077708,5.894153,0.183430,0.049250,0.019000,0.949042
12153,16.474542,16.471127,0.000000,6.049041,5.862694,0.186264,0.041208,0.021000,1.274459
12154,17.126333,17.117663,0.000000,5.342833,5.342333,0.000292,0.051042,0.019667,0.639167
12155,16.644834,16.628337,0.000000,6.702166,6.491903,0.210180,0.053000,0.019625,1.301167
12156,16.225750,16.203098,0.000000,6.607501,6.430986,0.176431,0.052666,0.018834,0.299000
12157,17.259416,17.256551,0.000000,6.226041,6.032652,0.193347,0.045334,0.016916,0.949917
12158,16.475459,16.434340,0.000000,6.291084,6.290751,0.000333,0.054208,0.016750,0.408167
12159,16.852916,16.829831,0.000000,6.778709,6.596319,0.182306,0.044792,0.009417,0.962458
12160,16.752834,16.777459,0.000000,6.737083,6.539653,0.197347,0.047208,0.012375,1.294500
12161,16.652291,16.588927,0.000000,6.484541,6.291695,0.192763,0.044917,0.009875,0.651292
12162,16.818167,16.875794,0.000000,6.723041,6.538902,0.184056,0.062958,0.019542,1.280208
12163,16.606042,16.602666,0.000000,6.533250,6.328902,0.204264,0.056000,0.037708,0.645834
12164,16.624208,16.580716,0.000000,6.653125,6.457194,0.195847,0.053125,0.018500,0.966875
12165,16.715625,16.695133,0.000000,6.636750,6.466652,0.170014,0.065792,0.021625,0.310250
12166,16.764458,16.749180,0.000000,6.107375,6.099028,0.008181,0.056459,0.013458,0.943333
12167,16.558250,16.553705,0.000000,6.314666,6.124653,0.189930,0.050542,0.013250,0.644000
12168,16.743125,16.714330,0.000000,6.720792,6.533819,0.186848,0.053625,0.021584,0.886332
12169,16.641875,16.636591,0.000000,6.809792,6.605236,0.204472,0.050084,0.014375,1.248917
12170,16.804917,16.790456,0.000000,6.314667,6.126153,0.188431,0.056792,0.019750,0.325625
12171,16.842667,16.785914,0.000000,6.386583,6.386069,0.000264,0.092958,0.040792,0.586041
12172,16.405166,16.433283,0.000000,4.986041,4.959486,0.026223,0.050000,0.035875,0.303917
12173,16.788125,16.778341,0.000000,6.332416,6.331903,0.000222,0.064625,0.014209,0.592334
12174,16.662167,16.699009,0.000000,6.699916,6.516152,0.183681,0.055208,0.076000,0.356042
12175,16.604500,16.539376,0.000000,6.757042,6.559986,0.196972,0.051292,0.013083,0.916416
12176,16.714958,16.696334,0.000000,6.730958,6.532528,0.198305,0.048209,0.017583,1.229750
12177,16.744750,16.698999,0.000000,6.762249,6.587402,0.174722,0.047667,0.012208,0.300917
12178,16.623625,16.650792,0.000000,6.672291,6.453069,0.219139,0.058625,0.052917,1.252667
12179,16.693042,16.673344,0.000000,6.818792,6.635319,0.183389,0.046417,0.011375,0.291625
12180,16.635583,16.623841,0.000000,6.714042,6.542152,0.171806,0.046750,0.011125,0.927083
12181,16.712625,16.659041,0.000000,6.982499,6.761319,0.221097,0.048625,0.010709,0.295875
12182,16.642459,16.660631,0.000000,6.648417,6.469695,0.178597,0.045750,0.013500,0.927833
12183,16.838583,16.820594,0.000000,6.948958,6.769694,0.179181,0.056083,0.027042,1.236833
12184,16.537208,16.559302,0.000000,6.852125,6.648736,0.203306,0.051959,0.028833,0.629333
12185,16.725209,16.675540,0.000000,6.804874,6.620861,0.183930,0.050166,0.013292,1.250876
12186,16.791916,16.807586,0.000000,6.857333,6.670235,0.186973,0.076834,0.020375,0.295583
12187,16.680959,16.646159,0.000000,6.470126,6.272570,0.197472,0.048708,0.012083,0.931709
12188,16.531541,16.507125,0.000000,6.864292,6.660361,0.203847,0.041500,0.010209,0.291250
12189,16.896000,16.938785,0.000000,6.801208,6.632402,0.168681,0.050084,0.053375,0.936292
12190,16.507125,16.440411,0.000000,6.533625,6.343111,0.190431,0.058875,0.019709,0.288750
12191,16.799959,16.784084,0.000000,6.527709,6.337944,0.189681,0.055541,0.017250,1.006416
12192,16.577083,16.563578,0.000000,6.857500,6.672527,0.184890,0.049458,0.014459,1.100250
12193,17.044542,17.007538,0.000000,6.289918,6.091778,0.197931,0.051875,0.012083,0.301000
12194,16.500375,16.503280,0.000000,6.154958,5.963403,0.191430,0.057750,0.016625,1.066541
12195,16.509833,16.499256,0.000000,6.622793,6.442444,0.180265,0.052000,0.019042,0.296250
12196,16.639375,16.643593,0.000000,6.999375,6.795903,0.203347,0.066000,0.012625,0.612749
12197,16.721667,16.688957,0.000000,6.834668,6.653820,0.180764,0.047291,0.020375,0.288833
12198,16.728291,16.715012,0.000000,6.929499,6.756527,0.172889,0.049875,0.013750,0.907626
12199,16.732000,16.725838,0.000000,6.815084,6.628278,0.186681,0.060792,0.023667,0.935624
12200,16.581459,16.585863,0.000000,6.879166,6.694319,0.184764,0.058375,0.036916,0.658916
12201,16.563125,16.562078,0.000000,6.710708,6.709791,0.000917,0.050125,0.051875,0.714374
12202,16.720125,16.673837,0.000000,7.090457,6.887819,0.202555,0.053708,0.011042,0.639292
12203,16.622500,16.603971,0.000000,6.902334,6.902084,0.000250,0.055916,0.013292,1.238333
12204,16.757333,16.753137,0.000000,7.098084,6.929444,0.168556,0.051500,0.031333,0.303917
12205,16.840042,16.817293,0.000000,7.090707,6.875444,0.215180,0.054375,0.011875,0.623208
12206,16.422916,16.436170,0.000000,6.659667,6.649543,0.010124,0.046125,0.058959,0.497291
12207,16.897459,16.852950,0.000000,7.107459,6.932861,0.174473,0.047583,0.011667,1.132458
12208,16.556583,16.547257,0.000000,6.927708,6.737152,0.190473,0.046208,0.010209,0.948749
12209,16.630125,16.610086,0.000000,6.724458,6.722084,0.002374,0.052167,0.013333,0.861000
12210,16.852458,16.839250,0.000000,6.796832,6.612902,0.183847,0.050917,0.012167,1.011624
12211,16.669000,16.664710,0.000000,6.955792,6.740028,0.215681,0.049709,0.012708,0.682792
12212,16.700917,16.679037,0.000000,6.988834,6.806278,0.182431,0.045333,0.010750,1.177042
12213,16.195250,16.180492,0.000000,7.038209,6.837028,0.201098,0.053250,0.015458,0.299500
12214,16.795375,16.779386,0.000000,4.496166,4.495291,0.000625,0.060042,0.061916,0.940416
12215,16.872917,16.873623,0.000000,6.385208,6.196528,0.188555,0.046166,0.044500,1.275207
12216,16.688291,16.676420,0.000000,6.169209,5.973027,0.196098,0.048084,0.036916,0.312958
12217,16.598834,16.531573,0.000000,6.312583,6.109027,0.203473,0.061000,0.013625,0.945917
12218,16.868916,16.922839,0.000000,4.787042,4.786501,0.000166,0.068834,0.018416,0.349042
12219,16.696709,16.675580,0.000000,5.540168,5.444236,0.095556,0.063625,0.019125,0.778250
12220,16.565000,16.542709,0.000000,6.102167,5.902820,0.199222,0.066541,0.051000,0.632708
12221,16.815958,16.836202,0.000000,5.698208,5.569070,0.128555,0.062958,0.030125,0.947833
12222,16.529500,16.432372,0.000000,5.960001,5.952209,0.007792,0.044000,0.011917,0.630833
12223,16.754167,16.753892,0.000000,6.342833,6.140027,0.202722,0.049708,0.013333,0.610584
12224,16.640083,16.611832,0.000000,6.099124,5.906111,0.192930,0.049042,0.012333,1.257791
12225,16.801625,16.842207,0.000000,6.416750,6.218861,0.197681,0.060042,0.024916,0.304458
12226,16.720292,16.654575,0.000000,6.152208,5.950611,0.201514,0.049833,0.023750,1.258834
12227,16.584416,16.626169,0.000000,6.121959,5.936862,0.185014,0.050625,0.036667,0.305750
12228,16.839625,16.830065,0.000000,6.183835,5.996903,0.186765,0.066625,0.014834,0.972707
12229,16.409042,16.373031,0.000000,5.771374,5.769957,0.001126,0.052417,0.041750,0.435417
12230,16.775542,16.770785,0.000000,6.261625,6.071195,0.190347,0.049791,0.042250,0.955542
12231,16.699041,16.690578,0.000000,6.367916,6.141569,0.226306,0.049875,0.017542,1.083292
12232,16.643917,16.633228,0.000000,6.321791,6.138027,0.183681,0.057125,0.012792,0.626875
