frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks
70669,16.664958,16.532504,10.589362,0.000000,6.329833,6.180487,0.149263,0.044709,0.014791,1.267041,630,8049436,131862,0,5408
70670,16.657250,16.564351,10.197871,0.000000,7.073667,6.922529,0.151013,0.040584,0.049458,0.609167,630,8092809,121243,0,5408
70671,16.909292,16.773997,10.815749,0.000000,6.383917,6.222821,0.161012,0.052542,0.014458,1.333167,643,8089282,131569,0,7210
70672,16.551375,16.393121,10.509253,0.000000,6.216042,6.065945,0.150013,0.045375,0.010917,0.491625,628,8049357,131595,0,5408
70673,16.807792,16.754673,10.785306,0.000000,6.851334,6.704237,0.146805,0.082625,0.015333,0.579626,631,8080254,121832,0,5408
70674,16.666250,16.530321,10.683884,0.000000,6.160875,5.989487,0.171221,0.067375,0.017083,0.302000,642,8102063,130349,0,7210
70675,16.645791,16.479123,10.699783,0.000000,5.912542,5.773862,0.138555,0.045250,0.012959,0.911084,630,8049162,130983,0,5408
70676,16.433709,16.312209,10.765538,0.000000,6.264583,6.163404,0.101054,0.033333,0.017083,1.229125,633,8087893,120940,0,5408
70677,16.754041,16.598518,10.963459,0.000000,5.738875,5.616696,0.122096,0.042959,0.010666,0.617541,640,8078942,131181,0,7210
70678,16.769625,16.638110,11.086835,0.000000,5.769792,5.671487,0.098222,0.042292,0.014875,1.216167,633,8064640,131296,0,5408
70679,16.665584,16.542418,10.953227,0.000000,6.265209,6.140613,0.124471,0.038083,0.030792,0.620208,632,8080204,121371,0,5408
70680,16.654791,16.518229,10.841515,0.000000,6.100917,5.972238,0.128596,0.042209,0.012458,1.233125,641,8086445,129549,0,7210
70681,16.873959,16.795958,11.229578,0.000000,5.791958,5.689821,0.102054,0.054291,0.022917,0.590791,631,8076901,132607,0,5408
70682,16.512791,16.325627,10.761332,0.000000,6.273834,6.170237,0.103513,0.036292,0.011292,0.914708,632,8068186,120118,0,5408
70683,16.700667,16.538723,10.869053,0.000000,5.895709,5.770446,0.125138,0.032833,0.009709,0.609500,639,8070949,129479,0,7210
70684,16.633792,16.534202,10.968585,0.000000,5.755459,5.650946,0.104430,0.035333,0.010417,1.063792,630,8080377,131046,0,5408
70685,16.709666,16.604362,11.031806,0.000000,6.412875,6.312821,0.099929,0.040250,0.017500,1.242541,633,8095515,121114,0,5408
70686,16.740625,16.578281,10.909787,0.000000,6.146293,6.022071,0.124138,0.031459,0.018333,0.451042,640,8072088,127215,0,7210
70687,16.691292,16.591078,11.646536,0.000000,5.644250,5.643820,0.000305,0.047542,0.022416,1.237625,631,8079131,131456,0,5408
70688,16.640583,16.497321,10.920157,0.000000,6.512957,6.404112,0.108762,0.039292,0.030458,0.609333,631,8064801,118041,0,5408
70689,16.442667,16.343868,10.835548,0.000000,6.115624,6.115279,0.000262,0.074542,0.011416,1.252917,640,8086443,128436,0,7210
70690,16.980333,16.817806,11.255833,0.000000,6.192666,6.092320,0.100263,0.045209,0.018583,0.609292,632,8064791,128880,0,5408
70691,17.221709,17.113070,11.490588,0.000000,6.497792,6.397487,0.099971,0.064500,0.011791,0.980709,634,8101167,120188,0,5408
70692,16.038625,15.857413,10.337853,0.000000,5.530417,5.438737,0.091471,0.041250,0.012041,0.899375,640,8065679,126633,0,7210
70693,16.775208,16.682578,11.050909,0.000000,6.101041,5.979695,0.121263,0.037542,0.013916,0.630542,632,8080054,130560,0,5408
70694,16.566792,16.450237,10.838461,0.000000,6.560582,6.451320,0.109137,0.038875,0.031083,0.919416,632,8080215,117979,0,5408
70695,16.772000,16.617505,10.940546,0.000000,6.344459,6.219029,0.125346,0.034750,0.017541,0.627667,641,8071023,126680,0,7210
70696,16.610625,16.477530,10.914752,0.000000,6.093957,5.988028,0.105846,0.036666,0.009334,1.282125,629,8064773,128908,0,5408
70697,16.728791,16.576663,10.907132,0.000000,6.645626,6.528404,0.117138,0.037959,0.011375,0.624667,632,8080276,118895,0,5408
70698,16.698375,16.591617,10.892459,0.000000,6.401874,6.273654,0.128137,0.034625,0.009542,1.249000,641,8086513,126514,0,7210
70699,16.851125,16.700846,11.121066,0.000000,5.988957,5.884153,0.104721,0.044417,0.011875,1.054875,631,8064670,129273,0,5408
70700,16.333417,16.235169,10.562123,0.000000,6.526292,6.386946,0.139221,0.037958,0.029209,0.480833,632,8084939,118797,0,5408
