frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other
17559,16.736875,16.643750,11.166870,0.000000,5.442376,5.367930,0.073946,0.063916,0.014000,1.236918,631,8080166,143359,0,5408,0,2,5406,0,3510,1896,0,0
17560,16.742500,16.635706,11.103279,0.000000,5.518876,5.413139,0.105444,0.067916,0.045834,0.304000,634,8095773,142421,0,5408,0,2,5406,0,3510,1896,0,0
17561,16.565541,16.412585,11.203481,0.000000,5.512749,5.512222,0.000361,0.058584,0.034708,0.940041,639,8055353,142313,0,7210,0,2,7208,0,4680,2528,0,0
17562,16.712417,16.615281,11.097196,0.000000,5.522083,5.430055,0.091570,0.060708,0.033167,1.244791,631,8080233,144005,0,5408,0,2,5406,0,3510,1896,0,0
17563,16.739667,16.595498,10.881434,0.000000,5.715333,5.588056,0.126986,0.063875,0.012500,0.613625,632,8080489,141870,0,5408,0,2,5406,0,3510,1896,0,0
17564,16.616958,16.516876,10.974150,0.000000,5.541458,5.447930,0.093153,0.060875,0.045042,0.910792,639,8083264,143036,0,7210,0,2,7208,0,4680,2528,0,0
17565,16.765333,16.680799,11.286629,0.000000,5.568916,5.568346,0.000154,0.102167,0.036750,0.448792,635,8098581,143237,0,5408,0,2,5406,0,3510,1896,0,0
17566,16.227334,16.200379,11.568636,0.000000,4.661749,4.642722,0.018694,0.071166,0.206584,0.611583,635,8077789,144700,0,5865,0,2,5863,0,3510,2353,0,0
17567,17.059333,16.782938,12.229014,0.000000,4.664293,4.663681,0.000320,0.062208,0.012834,0.305041,638,8024639,148268,0,7210,0,2,7208,0,4680,2528,0,0
17568,16.743625,16.648876,11.309010,0.000000,5.334709,5.278597,0.055737,0.057708,0.044750,0.916334,633,8095744,145326,0,5408,0,2,5406,0,3510,1896,0,0
17569,16.490667,16.383610,10.924723,0.000000,5.436876,5.342306,0.094278,0.063791,0.046167,0.290166,638,8140472,147065,0,5687,0,2,5685,0,3510,2175,0,0
17570,16.771666,16.609912,12.467990,0.000000,4.336125,4.335555,0.000278,0.074834,0.013375,1.270833,638,8007236,167164,0,7571,0,2,7569,0,4680,2889,0,0
17571,16.707792,16.620291,11.209326,0.000000,5.444374,5.377346,0.066820,0.068625,0.019583,0.955167,633,8080374,144046,0,5408,0,2,5406,0,3510,1896,0,0
17572,16.777000,16.680085,11.160843,0.000000,5.515458,5.427347,0.087653,0.082250,0.037125,0.608541,633,8110967,143464,0,5408,0,2,5406,0,3510,1896,0,0
17573,16.569875,16.457756,11.409488,0.000000,5.080251,5.079639,0.000362,0.083250,0.032708,0.908792,637,8036218,147647,0,7210,0,2,7208,0,4680,2528,0,0
17574,16.752958,16.591194,11.511156,0.000000,5.094166,5.061304,0.032528,0.069250,0.013167,0.610375,631,8084199,145537,0,5408,0,2,5406,0,3510,1896,0,0
17575,16.678625,16.579529,11.388709,0.000000,5.432457,5.431764,0.000402,0.071625,0.030084,0.901542,632,8080428,143068,0,5408,0,2,5406,0,3510,1896,0,0
17576,16.668209,16.519133,11.159525,0.000000,5.347666,5.274347,0.072861,0.063666,0.032084,0.292250,640,8055325,144436,0,7210,0,2,7208,0,4680,2528,0,0
17577,16.535416,16.439464,11.131460,0.000000,5.287834,5.226680,0.060987,0.059750,0.059500,1.042666,640,8156938,146024,0,5537,0,2,5535,0,3510,2025,0,0
17578,16.420792,16.517879,11.209471,0.000000,5.324334,5.283598,0.040402,0.073375,0.238250,1.185667,639,8055285,150183,0,7216,0,2,7313,0,4656,2657,0,0
17579,17.073417,16.748038,11.727365,0.000000,5.132418,5.132014,0.000237,0.068625,0.027041,0.290541,629,8048738,148888,0,5531,0,2,5430,0,3534,1896,0,0
