present_frame,emulated_frame,previous_pc,pc
1,44,80345738,80338234
1,44,80338234,80345738
1,44,80345738,80338290
1,44,80338290,80345760
1,44,80345760,803382a4
1,44,803382a4,80345760
1,44,80345760,803382ac
1,44,803382ac,800191c0
1,44,800191c0,8001920c
1,44,8001920c,8001cc04
1,44,8001cc04,8001956c
1,44,8001956c,80386c7c
1,44,80386c7c,80019550
1,44,80019550,8033821c
1,44,8033821c,80345738
1,44,800191c0,8001920c
1,44,8001920c,8001cc04
1,44,8001cc04,8001956c
1,44,8001956c,80386c7c
1,44,80386c7c,80019550
1,44,80019550,8033821c
1,44,8033821c,80345738
1,44,80345738,80338234
1,44,80338234,80345738
1,44,80345738,80338290
1,44,80338290,80345760
1,44,80345760,803382a4
1,44,803382a4,80345760
1,44,80345760,803382ac
1,44,803382ac,800191c0
1,44,800191c0,8001920c
1,44,8001920c,8001cc04
1,44,8001cc04,8001956c
1,44,8001956c,80386c7c
1,44,80386c7c,80019550
1,44,80019550,8033821c
1,44,8033821c,80345738
1,44,80345738,80338234
1,44,80338234,80345738
1,44,80345738,80338290
1,44,80338290,80345760
1,44,80345760,803382a4
1,44,803382a4,80345760
1,44,80345760,803382ac
1,44,803382ac,800191c0
1,44,800191c0,8001920c
1,44,8001920c,8001cc04
1,44,8001cc04,8001956c
1,44,8001956c,80386c7c
1,44,80386c7c,80019550
1,44,80019550,8033821c
1,44,8033821c,80345738
1,44,80345738,80338234
1,44,80338234,80345738
1,44,80345738,80338290
1,44,80338290,80345760
1,44,80345760,803382a4
1,44,803382a4,80345760
1,44,80345760,803382ac
1,44,80345738,80338234
1,44,80338234,80345738
1,44,803382a4,80345760
1,44,80345760,803382ac
1,44,803382ac,800191c0
1,44,800191c0,8001920c
1,44,8001920c,8001cc04
1,44,8001cc04,8001956c
1,44,8001956c,80386c7c
1,44,80386c7c,80019550
1,44,80019550,8033821c
